Nr,Pos,SampleName,CreationDate,ProcessTime,Amount,Unit,ConcentrateAmount,Unit,Type,State,CalFile,MethodFile,Height,Cell,Hg [ng],Concentration,Unit,DilutionWeight,FinalVolume,CalFactor,DilutionFactor,Statistics,Group,Remark,AS-Pos
122,10,wd1rl2,2024-03-15-20-31-27,2024-03-15-21-50-07,1.0237,g,1.0237,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.2998,0,2.2817,2.2289,µg/kg,,,1,,,,,
123,11,wd1rl3,2024-03-15-20-33-21,2024-03-15-21-59-31,1.004,g,1.004,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.2911,0,2.2077,2.1989,µg/kg,,,1,,,,,
124,12,wd1rl3,2024-03-15-20-35-56,2024-03-15-22-08-52,1.0643,g,1.0643,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.3456,0,2.6813,2.5193,µg/kg,,,1,,,,,
125,13,eurw2,2024-03-15-20-38-32,2024-03-15-22-18-20,1.0418,g,1.0418,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.345424,1,7.5584,7.2552,µg/kg,,,1,,,,,
126,14,eurw2,2024-03-15-20-43-29,2024-03-15-22-27-41,1.0401,g,1.0401,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.319024,1,6.9064,6.6402,µg/kg,,,1,,,,,
127,15,eurw3,2024-03-15-20-46-44,2024-03-15-22-37-21,1.0291,g,1.0291,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.438585,1,9.9918,9.7093,µg/kg,,,1,,,,,
128,16,eurw3,2024-03-15-20-48-59,2024-03-15-22-46-56,1.0473,g,1.0473,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.480485,1,11.1654,10.6611,µg/kg,,,1,,,,,
129,17,wd2rl1,2024-03-15-20-51-40,2024-03-15-22-56-29,1.0363,g,1.0363,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.252,0,1.882,1.8161,µg/kg,,,1,,,,,
130,18,wd2rl1,2024-03-15-20-53-55,2024-03-15-23-06-08,1.0484,g,1.0484,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.2829,0,2.1385,2.0398,µg/kg,,,1,,,,,
131,19,wd2rl2,2024-03-15-20-55-53,2024-03-15-23-15-30,1.0196,g,1.0196,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.310623,1,6.7021,6.5732,µg/kg,,,1,,,,,
132,20,wd2rl2,2024-03-15-20-58-05,2024-03-15-23-25-05,1.0322,g,1.0322,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.265722,1,5.6334,5.4576,µg/kg,,,1,,,,,
133,21,wd2rl3,2024-03-15-21-00-44,2024-03-15-23-34-31,1.0267,g,1.0267,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.2602,0,1.9494,1.8987,µg/kg,,,1,,,,,
134,22,wd2rl3,2024-03-15-21-01-13,2024-03-15-23-44-04,1.0329,g,1.0329,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.294414,0,2.2359,2.1646,µg/kg,,,1,,,,,
136,3,wd1rl2_spike,2024-03-16-00-25-12,2024-03-16-00-43-40,1.0264,g,1.0264,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.52291,1,12.4143,12.095,µg/kg,,,1,,,,,
137,4,wd1rl2_spike_cleanboat,2024-03-16-00-32-01,2024-03-16-00-49-49,1.003,g,1.003,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.521023,1,12.3573,12.3203,µg/kg,,,1,,,,,
138,5,acs_water,2024-03-16-00-35-41,2024-03-16-00-59-01,0.5008,g,0.5008,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.016365,0,0.1105,0.2206,µg/kg,,,1,,,,,
139,6,water blank,2024-03-16-00-37-57,2024-03-16-01-08-26,0.4964,g,0.4964,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.005611,0,0.036,0.0726,µg/kg,,,1,,,,,
140,7,cs456,2024-03-16-00-41-07,2024-03-16-01-18-04,0.1043,g,0.1043,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.390521,1,8.7088,83.4979,µg/kg,,,1,,,,,
141,2,ib,2024-03-17-20-25-39,2024-03-17-20-26-20,1,g,1,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.010962,0,0.073,0.073,µg/kg,,,1,,,,,
142,6,ib,2024-03-17-20-33-09,2024-03-17-20-33-21,1,g,1,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.001674,0,0.0089,0.0089,µg/kg,,,1,,,,,
143,5,water blank,2024-03-17-20-43-51,2024-03-17-20-50-46,0.4969,g,0.4969,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.005499,0,0.0352,0.0709,µg/kg,,,1,,,,,
144,6,cs456,2024-03-17-20-43-59,2024-03-17-20-56-54,0.1029,g,0.1029,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.360284,1,7.9322,77.0865,µg/kg,,,1,,,,,
145,7,cs456,2024-03-17-20-44-05,2024-03-17-21-06-33,0.1018,g,0.1018,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.351684,1,7.7153,75.7887,µg/kg,,,1,,,,,
146,8,wb2,2024-03-17-21-17-10,2024-03-17-23-04-06,1.0161,g,1.0161,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.326261,1,7.0837,6.9715,µg/kg,,,1,,,,,
147,9,wb2,2024-03-17-21-17-15,2024-03-17-23-10-15,1.0279,g,1.0279,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.334923,1,7.2973,7.0992,µg/kg,,,1,,,,,
148,10,wb3,2024-03-17-21-26-59,2024-03-17-23-19-28,1.0061,g,1.0061,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.510184,1,12.0327,11.9597,µg/kg,,,1,,,,,
149,11,wb3,2024-03-17-21-31-04,2024-03-17-23-29-02,1.0346,g,1.0346,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.509766,1,12.0202,11.6183,µg/kg,,,1,,,,,
150,12,ebd1,2024-03-17-21-35-25,2024-03-17-23-38-34,1.0598,g,1.0598,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.337778,1,7.368,6.9523,µg/kg,,,1,,,,,
151,13,ebd1,2024-03-17-21-38-41,2024-03-17-23-47-52,1.0589,g,1.0589,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.348682,1,7.64,7.215,µg/kg,,,1,,,,,
152,14,ebd3,2024-03-17-21-40-47,2024-03-17-23-57-19,1.0467,g,1.0467,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.348324,1,7.631,7.2905,µg/kg,,,1,,,,,
153,15,ebd3,2024-03-17-21-42-47,2024-03-18-00-06-42,1.0545,g,1.0545,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.323482,1,7.0155,6.6529,µg/kg,,,1,,,,,
154,16,ed2rl1,2024-03-17-21-44-51,2024-03-18-00-16-25,1.0184,g,1.0184,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.0449,2,68.6736,67.4329,µg/kg,,,1,,,,,
175,-,auto BV (1),2024-03-18-00-26-01,2024-03-18-00-26-01,0,g,0,g,blind check,finished,cal_11-2-23.c80,,0.00549,0,0.0352,,,,,1,,,,,
155,17,ed2rl1,2024-03-17-21-49-39,2024-03-18-00-29-37,1.0255,g,1.0255,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.0435,2,66.433,64.781,µg/kg,,,1,,,,,
176,-,auto BV (1),2024-03-18-00-38-46,2024-03-18-00-38-47,0,g,0,g,blind check,finished,cal_11-2-23.c80,,0.0058,0,0.0373,,,,,1,,,,,
156,18,ed2rl3,2024-03-17-21-54-44,2024-03-18-00-42-22,1.028,g,1.028,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.0371,2,56.1899,54.6594,µg/kg,,,1,,,,,
177,-,auto BV (1),2024-03-18-00-51-34,2024-03-18-00-51-34,0,g,0,g,blind check,finished,cal_11-2-23.c80,,0.005594,0,0.0359,,,,,1,,,,,
157,19,ed2rl3,2024-03-17-21-58-17,2024-03-18-00-55-09,0.9958,g,0.9958,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.0399,2,60.6712,60.9271,µg/kg,,,1,,,,,
178,-,auto BV (1),2024-03-18-01-04-22,2024-03-18-01-04-22,0,g,0,g,blind check,finished,cal_11-2-23.c80,,0.006094,0,0.0393,,,,,1,,,,,
158,20,ed1rl2,2024-03-17-22-03-37,2024-03-18-01-07-58,1.0228,g,1.0228,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.0891,2,139.4151,136.3073,µg/kg,,,1,,,,,
179,-,auto BV (1),2024-03-18-01-17-10,2024-03-18-01-17-10,0,g,0,g,blind check,finished,cal_11-2-23.c80,,0.014278,0,0.096,,,,,1,,,,,
160,21,ed1rl2,2024-03-17-22-05-15,2024-03-18-01-20-45,0.9954,g,0.9954,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.0779,2,121.4896,122.0511,µg/kg,,,1,,,,,
180,-,auto BV (1),2024-03-18-01-29-58,2024-03-18-01-29-58,0,g,0,g,blind check,finished,cal_11-2-23.c80,,0.013458,0,0.0903,,,,,1,,,,,
161,22,ed1rl3,2024-03-17-22-12-00,2024-03-18-01-33-33,1.0168,g,1.0168,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.0422,2,64.3523,63.2891,µg/kg,,,1,,,,,
181,-,auto BV (1),2024-03-18-01-42-46,2024-03-18-01-42-46,0,g,0,g,blind check,finished,cal_11-2-23.c80,,0.008881,0,0.0586,,,,,1,,,,,
162,23,ed1rl3,2024-03-17-22-12-57,2024-03-18-01-46-20,1.0386,g,1.0386,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.0415,2,63.232,60.882,µg/kg,,,1,,,,,
182,-,auto BV (1),2024-03-18-01-55-33,2024-03-18-01-55-33,0,g,0,g,blind check,finished,cal_11-2-23.c80,,0.00835,0,0.0549,,,,,1,,,,,
163,24,ed2rw1,2024-03-17-22-18-24,2024-03-18-01-59-07,1.0374,g,1.0374,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.459341,1,10.5663,10.1854,µg/kg,,,1,,,,,
164,25,ed2rw1,2024-03-17-22-18-57,2024-03-18-02-08-19,1.0133,g,1.0133,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.522405,1,12.399,12.2363,µg/kg,,,1,,,,,
165,26,ed2rw2,2024-03-17-22-25-11,2024-03-18-02-17-59,1.0007,g,1.0007,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.809038,1,23.935,23.9183,µg/kg,,,1,,,,,
166,27,ed2rw2,2024-03-17-22-27-44,2024-03-18-02-27-40,1.0471,g,1.0471,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.806498,1,23.783,22.7132,µg/kg,,,1,,,,,
167,28,ed1rw1,2024-03-17-22-41-17,2024-03-18-02-37-22,1.0462,g,1.0462,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.402023,1,9.0102,8.6123,µg/kg,,,1,,,,,
168,29,ed1rw1,2024-03-17-22-42-25,2024-03-18-02-46-44,1.0234,g,1.0234,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.359381,1,7.9093,7.7285,µg/kg,,,1,,,,,
169,30,eurl1,2024-03-17-22-44-37,2024-03-18-02-56-12,1.0136,g,1.0136,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.720025,1,19.4414,19.1806,µg/kg,,,1,,,,,
170,31,eurl1,2024-03-17-22-47-26,2024-03-18-03-05-37,1.0551,g,1.0551,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.762887,1,21.4254,20.3065,µg/kg,,,1,,,,,
171,32,eurl2,2024-03-17-22-50-18,2024-03-18-03-15-07,1.0293,g,1.0293,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.569428,1,13.8662,13.4715,µg/kg,,,1,,,,,
172,33,eurl2,2024-03-17-22-51-09,2024-03-18-03-24-40,1.0487,g,1.0487,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.587545,1,14.4587,13.7873,µg/kg,,,1,,,,,
173,34,eurl3,2024-03-17-23-00-37,2024-03-18-03-34-20,1.0075,g,1.0075,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.743446,1,20.4931,20.3405,µg/kg,,,1,,,,,
174,35,eurl3,2024-03-17-23-00-43,2024-03-18-03-43-58,1.0141,g,1.0141,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.809842,1,23.9836,23.6501,µg/kg,,,1,,,,,
183,11,wb3_spike,2024-03-18-04-42-01,2024-03-18-04-54-12,1.0273,g,1.0273,g,normal,finished,cal_11-2-23.c80,hydric_sed.m80,0.0241,2,35.3836,34.4433,µg/kg,,,1,,,,,
184,12,water blank,2024-03-18-04-42-19,2024-03-18-05-01-06,0.497,g,0.497,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.010526,0,0.07,0.1408,µg/kg,,,1,,,,,
185,13,proced_blank,2024-03-18-04-42-29,2024-03-18-05-10-07,0.4938,g,0.4938,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.00879,0,0.058,0.1174,µg/kg,,,1,,,,,
186,14,cs456,2024-03-18-04-42-48,2024-03-18-05-19-43,0.1006,g,0.1006,g,normal,finished,cal_11-2-23.c80,Standard.m80,0.403978,1,9.0618,90.0772,µg/kg,,,1,,,,,
194,1,ib,2024-03-30-20-04-31,2024-03-30-20-05-03,1,g,1,g,normal,finished,cal_11-2-23.c80,hydric_sed.m80,0.000978,0,0.0041,0.0041,µg/kg,,,1,,,,,
195,2,ib,2024-03-30-20-04-43,2024-03-30-20-11-57,1,g,1,g,normal,finished,cal_11-2-23.c80,hydric_sed.m80,0.000895,0,0.0035,0.0035,µg/kg,,,1,,,,,
196,3,water blank,2024-03-30-20-25-12,2024-03-30-20-34-46,0.5,g,0.5,g,normal,finished,cal_11-2-23.c80,hydric_sed.m80,0.005684,0,0.0365,0.073,µg/kg,,,1,,,,,
197,4,cs456,2024-03-30-20-25-25,2024-03-30-20-41-39,0.0997,g,0.0997,g,normal,finished,cal_11-2-23.c80,hydric_sed.m80,0.367485,1,8.1152,81.3958,µg/kg,,,1,,,,,
198,5,cs456,2024-03-30-20-25-31,2024-03-30-20-53-39,0.1028,g,0.1028,g,normal,finished,cal_11-2-23.c80,hydric_sed.m80,0.355583,1,7.8134,76.006,µg/kg,,,1,,,,,
199,6,wb2,2024-03-30-21-22-53,2024-03-30-22-53-35,1.0043,g,1.0043,g,normal,finished,cal_11-2-23.c80,hydric_sed.m80,0.340683,1,7.4402,7.4084,µg/kg,,,1,,,,,
200,7,wb2,2024-03-30-21-23-13,2024-03-30-23-00-29,1.0652,g,1.0652,g,normal,finished,cal_11-2-23.c80,hydric_sed.m80,0.328086,1,7.1286,6.6922,µg/kg,,,1,,,,,
201,8,wb3,2024-03-30-21-33-32,2024-03-30-23-12-02,0.9931,g,0.9931,g,normal,finished,cal_11-2-23.c80,hydric_sed.m80,0.466983,1,10.7812,10.8561,µg/kg,,,1,,,,,
202,9,wb3,2024-03-30-21-33-53,2024-03-30-23-23-40,0.9945,g,0.9945,g,normal,finished,cal_11-2-23.c80,hydric_sed.m80,0.456246,1,10.4798,10.5378,µg/kg,,,1,,,,,
203,10,ebd1,2024-03-30-21-38-56,2024-03-30-23-35-29,1.0564,g,1.0564,g,normal,finished,cal_11-2-23.c80,hydric_sed.m80,0.345087,1,7.55,7.1469,µg/kg,,,1,,,,,
204,11,ebd1,2024-03-30-21-39-01,2024-03-30-23-47-26,1.0076,g,1.0076,g,normal,finished,cal_11-2-23.c80,hydric_sed.m80,0.319824,1,6.926,6.8737,µg/kg,,,1,,,,,
205,12,ebd3,2024-03-30-21-43-28,2024-03-30-23-59-19,1.039,g,1.039,g,normal,finished,cal_11-2-23.c80,hydric_sed.m80,0.284725,1,6.0809,5.8527,µg/kg,,,1,,,,,
206,13,ebd3,2024-03-30-21-44-18,2024-03-31-00-11-12,1.0204,g,1.0204,g,normal,finished,cal_11-2-23.c80,hydric_sed.m80,0.315383,1,6.8177,6.6814,µg/kg,,,1,,,,,
207,14,ed2rl1,2024-03-30-21-49-03,2024-03-31-00-23-17,0.1479,g,0.1479,g,normal,finished,cal_11-2-23.c80,hydric_sed.m80,0.341482,1,7.4601,50.4403,µg/kg,,,1,,,,,
208,15,ed2rl1,2024-03-30-21-52-47,2024-03-31-00-35-12,0.1504,g,0.1504,g,normal,finished,cal_11-2-23.c80,hydric_sed.m80,0.317785,1,6.8762,45.7195,µg/kg,,,1,,,,,
209,16,ed2rl3,2024-03-30-21-55-19,2024-03-31-00-47-15,0.1517,g,0.1517,g,normal,finished,cal_11-2-23.c80,hydric_sed.m80,0.320985,1,6.9544,45.8428,µg/kg,,,1,,,,,
210,17,ed2rl3,2024-03-30-21-55-34,2024-03-31-00-59-16,0.1514,g,0.1514,g,normal,finished,cal_11-2-23.c80,hydric_sed.m80,0.304683,1,6.5584,43.3185,µg/kg,,,1,,,,,
211,18,ed1rl2,2024-03-30-21-59-48,2024-03-31-01-11-06,0.1077,g,0.1077,g,normal,finished,cal_11-2-23.c80,hydric_sed.m80,0.437496,1,9.9621,92.4984,µg/kg,,,1,,,,,
212,19,ed1rl2,2024-03-30-22-03-06,2024-03-31-01-23-02,0.101,g,0.101,g,normal,finished,cal_11-2-23.c80,hydric_sed.m80,0.408585,1,9.1837,90.9278,µg/kg,,,1,,,,,
213,20,ed1rl3,2024-03-30-22-07-05,2024-03-31-01-35-03,0.1571,g,0.1571,g,normal,finished,cal_11-2-23.c80,hydric_sed.m80,0.316982,1,6.8566,43.6451,µg/kg,,,1,,,,,
214,21,ed1rl3,2024-03-30-22-10-01,2024-03-31-01-47-02,0.1487,g,0.1487,g,normal,finished,cal_11-2-23.c80,hydric_sed.m80,0.317624,1,6.8723,46.2158,µg/kg,,,1,,,,,
215,22,ed2rw1,2024-03-30-22-17-38,2024-03-31-01-59-02,1.035,g,1.035,g,normal,finished,cal_11-2-23.c80,hydric_sed.m80,0.479146,1,11.127,10.7508,µg/kg,,,1,,,,,
216,23,ed2rw1,2024-03-30-22-18-07,2024-03-31-02-10-57,1.0029,g,1.0029,g,normal,finished,cal_11-2-23.c80,hydric_sed.m80,0.519504,1,12.3115,12.2759,µg/kg,,,1,,,,,
217,24,ed2rw2,2024-03-30-22-23-44,2024-03-31-02-22-40,0.5218,g,0.5218,g,normal,finished,cal_11-2-23.c80,hydric_sed.m80,0.499084,1,11.7048,22.4317,µg/kg,,,1,,,,,
218,25,ed2rw2,2024-03-30-22-27-40,2024-03-31-02-34-27,0.504,g,0.504,g,normal,finished,cal_11-2-23.c80,hydric_sed.m80,0.470009,1,10.8667,21.561,µg/kg,,,1,,,,,
219,26,ed1rw1,2024-03-30-22-30-47,2024-03-31-02-46-28,1.0014,g,1.0014,g,normal,finished,cal_11-2-23.c80,hydric_sed.m80,0.341123,1,7.4512,7.4408,µg/kg,,,1,,,,,
220,27,ed1rw1,2024-03-30-22-32-57,2024-03-31-02-58-10,1.0105,g,1.0105,g,normal,finished,cal_11-2-23.c80,hydric_sed.m80,0.402084,1,9.0118,8.9182,µg/kg,,,1,,,,,
221,28,eurl1,2024-03-30-22-35-01,2024-03-31-03-10-05,0.4971,g,0.4971,g,normal,finished,cal_11-2-23.c80,hydric_sed.m80,0.422786,1,9.5631,19.2378,µg/kg,,,1,,,,,
222,29,eurl1,2024-03-30-22-36-14,2024-03-31-03-21-57,0.5056,g,0.5056,g,normal,finished,cal_11-2-23.c80,hydric_sed.m80,0.433003,1,9.8396,19.4611,µg/kg,,,1,,,,,
223,30,eurl2,2024-03-30-22-41-41,2024-03-31-03-34-00,0.5075,g,0.5075,g,normal,finished,cal_11-2-23.c80,hydric_sed.m80,0.323684,1,7.0204,13.8334,µg/kg,,,1,,,,,
224,31,eurl2,2024-03-30-22-44-19,2024-03-31-03-46-09,0.5058,g,0.5058,g,normal,finished,cal_11-2-23.c80,hydric_sed.m80,0.325285,1,7.0597,13.9575,µg/kg,,,1,,,,,
225,32,eurl3,2024-03-30-22-46-17,2024-03-31-03-57-49,0.5059,g,0.5059,g,normal,finished,cal_11-2-23.c80,hydric_sed.m80,0.455483,1,10.4585,20.6731,µg/kg,,,1,,,,,
226,33,eurl3,2024-03-30-22-51-50,2024-03-31-04-09-37,0.507,g,0.507,g,normal,finished,cal_11-2-23.c80,hydric_sed.m80,0.466086,1,10.7558,21.2147,µg/kg,,,1,,,,,
227,34,wb3_spike,2024-03-31-03-29-54,2024-03-31-05-30-05,0.9915,g,0.9915,g,normal,finished,cal_11-2-23.c80,hydric_sed.m80,0.760425,1,21.304,21.4866,µg/kg,,,1,,,,,
228,35,water blank,2024-03-31-03-30-06,2024-03-31-05-37-00,0.509,g,0.509,g,normal,finished,cal_11-2-23.c80,hydric_sed.m80,0.00878,0,0.0579,0.1138,µg/kg,,,1,,,,,
229,36,proced_blank,2024-03-31-03-31-11,2024-03-31-05-48-32,0.4899,g,0.4899,g,normal,finished,cal_11-2-23.c80,hydric_sed.m80,0.005891,0,0.038,0.0775,µg/kg,,,1,,,,,
230,37,cs456,2024-03-31-03-31-54,2024-03-31-06-00-28,0.1016,g,0.1016,g,normal,finished,cal_11-2-23.c80,hydric_sed.m80,0.364983,1,8.0515,79.2466,µg/kg,,,1,,,,,
